,date,season,decades_bin,neutral,playoff,team,team_code,elo,elo_prob,score,result
182,1921-10-02,1921,1,0,0,AKR,2,1609.332,0.7287710183589939,41,1.0
184,1921-10-02,1921,1,0,0,ECG,14,1300.0,0.4301037895945261,21,1.0
185,1921-10-02,1921,1,0,0,LOU,15,1413.889,0.5698962104054739,0,0.0
186,1921-10-02,1921,1,0,0,ARI,11,1503.4270000000001,0.5907123998506881,20,1.0
187,1921-10-02,1921,1,0,0,MNN,16,1504.6879999999999,0.40928760014931187,0,0.0
188,1921-10-02,1921,1,0,0,BFF,8,1550.424,0.7638000993823642,17,1.0
189,1921-10-02,1921,1,0,0,HAM,13,1411.5439999999999,0.23619990061763585,0,0.0
190,1921-10-02,1921,1,0,0,RII,1,1507.161,0.8273104657062538,0,0.5
191,1921-10-02,1921,1,0,0,DTI,17,1300.0,0.17268953429374623,0,0.5
192,1921-10-02,1921,1,0,0,DAY,4,1530.29,0.7177130305917288,42,1.0
193,1921-10-02,1921,1,0,0,COL,5,1433.1860000000001,0.28228696940827125,13,0.0
194,1921-10-09,1921,1,0,0,ECG,14,1336.0320000000002,0.4025135809267792,14,1.0
196,1921-10-09,1921,1,0,0,CBD,7,1519.915,0.7445848318411796,7,0.5
197,1921-10-09,1921,1,0,0,HAM,13,1399.0479999999998,0.25541516815882037,7,0.5
198,1921-10-09,1921,1,0,0,DTI,17,1309.982,0.2695369239816663,10,1.0
199,1921-10-09,1921,1,0,0,DAY,4,1548.174,0.7304630760183337,7,0.0
200,1921-10-09,1921,1,0,0,BFF,8,1562.92,0.7727550050827636,38,1.0
201,1921-10-09,1921,1,0,0,COL,5,1415.3010000000002,0.22724499491723638,0,0.0
202,1921-10-09,1921,1,0,0,ARI,11,1527.6470000000002,0.4490998389573103,0,0.0
203,1921-10-09,1921,1,0,0,AKR,2,1628.139,0.5509001610426897,23,1.0
204,1921-10-10,1921,1,0,0,CHI,6,1546.233,0.6584844289155444,14,1.0
205,1921-10-10,1921,1,0,0,RII,1,1497.1789999999999,0.3415155710844556,10,0.0
206,1921-10-16,1921,1,0,0,CHI,6,1556.684,0.7134202815973444,16,1.0
207,1921-10-16,1921,1,0,0,RCH,3,1463.244,0.2865797184026556,13,0.0
208,1921-10-16,1921,1,0,0,ECG,14,1369.434,0.5401024206322547,0,0.0
209,1921-10-16,1921,1,0,0,HAM,13,1406.5079999999998,0.45989757936774533,3,1.0
210,1921-10-16,1921,1,0,0,CTI,12,1457.27,0.6688887730334149,35,1.0
211,1921-10-16,1921,1,0,0,COL,5,1400.118,0.3311112269665851,9,0.0
214,1921-10-16,1921,1,0,0,DAY,4,1526.191,0.611408130473334,14,0.5
215,1921-10-16,1921,1,0,0,CBD,7,1512.4560000000001,0.388591869526666,14,0.5
216,1921-10-16,1921,1,0,0,DTI,17,1331.9660000000001,0.1835543839176582,0,0.0
217,1921-10-16,1921,1,0,0,AKR,2,1656.231,0.8164456160823418,20,1.0
218,1921-10-16,1921,1,0,0,ARI,11,1499.555,0.6101655673915589,7,0.0
219,1921-10-16,1921,1,0,0,RII,1,1486.7279999999998,0.3898344326084411,14,1.0
220,1921-10-16,1921,1,0,0,BFF,8,1578.1029999999998,0.8781535300894766,55,1.0
222,1921-10-23,1921,1,0,0,DTI,17,1321.967,0.3261390439617119,0,0.0
223,1921-10-23,1921,1,0,0,RII,1,1513.0339999999999,0.6738609560382881,14,1.0
224,1921-10-23,1921,1,0,0,BFF,8,1586.589,0.7552604134648331,28,1.0
225,1921-10-23,1921,1,0,0,RCH,3,1455.832,0.24473958653516692,0,0.0
226,1921-10-23,1921,1,0,0,CBD,7,1515.8529999999998,0.37954880335133057,0,0.0
